Freq,Posting_ptr,Terms_ptr
2,"[23, 23]",
1,[23],
3,"[28, 27, 34]",
1,[24],
1,[20],
1,[36],
1,[7],
1,[6],
2,"[35, 33]",
1,[16],
1,[16],
1,[7],
1,[28],
1,[24],
1,[32],
1,[27],
4,"[15, 4, 2, 29]",
5,"[11, 11, 11, 29, 29]",
1,[24],
1,[19],
1,[16],
2,"[10, 10]",
2,"[11, 10]",
2,"[12, 12]",
1,[27],
1,[31],
8,"[22, 22, 22, 22, 8, 12, 12, 8]",
1,[20],
3,"[27, 20, 25]",
2,"[16, 37]",
2,"[14, 14]",
10,"[31, 31, 24, 29, 35, 31, 1, 23, 17, 3]",
2,"[24, 28]",
1,[16],
2,"[18, 28]",
1,[11],
2,"[27, 30]",
5,"[13, 9, 13, 17, 2]",
2,"[13, 17]",
7,"[36, 17, 25, 17, 17, 25, 27]",
2,"[29, 21]",
2,"[1, 1]",
1,[17],
1,[2],
1,[27],
1,[1],
1,[33],
2,"[21, 7]",
1,[36],
2,"[11, 11]",
1,[33],
7,"[17, 11, 1, 36, 18, 17, 23]",
2,"[23, 25]",
3,"[32, 32, 32]",
2,"[28, 18]",
1,[35],
1,[21],
1,[20],
1,[16],
2,"[3, 3]",
5,"[18, 36, 23, 27, 25]",
1,[30],
2,"[15, 13]",
8,"[7, 35, 12, 31, 30, 21, 28, 16]",
3,"[26, 12, 21]",
1,[21],
1,[18],
2,"[16, 3]",
8,"[3, 0, 4, 6, 24, 2, 33, 1]",
4,"[34, 35, 35, 16]",
1,[14],
5,"[27, 28, 29, 16, 22]",
1,[27],
28,"[20, 33, 17, 29, 27, 19, 37, 36, 22, 33, 31, 28, 21, 30, 16, 5, 14, 36, 37, 13, 22, 29, 21, 20, 26, 15, 17, 37]",
4,"[25, 23, 16, 16]",
3,"[11, 9, 11]",
1,[20],
1,[16],
2,"[26, 26]",
1,[1],
2,"[27, 18]",
3,"[34, 10, 32]",
2,"[10, 6]",
1,[13],
1,[16],
12,"[22, 21, 30, 27, 20, 27, 26, 3, 3, 27, 27, 10]",
1,[27],
2,"[25, 36]",
1,[2],
1,[28],
1,[16],
2,"[26, 29]",
7,"[3, 2, 4, 9, 6, 8, 5]",
1,[2],
2,"[10, 19]",
3,"[15, 15, 8]",
2,"[36, 36]",
7,"[26, 20, 19, 35, 35, 10, 29]",
1,[4],
1,[9],
1,[22],
2,"[3, 21]",
4,"[14, 14, 14, 21]",
1,[15],
1,[11],
2,"[17, 16]",
1,[27],
3,"[35, 18, 32]",
1,[20],
4,"[33, 26, 33, 33]",
20,"[21, 22, 27, 32, 13, 11, 30, 0, 23, 16, 24, 14, 10, 27, 15, 16, 18, 9, 29, 36]",
1,[17],
1,[29],
1,[10],
1,[10],
1,[20],
5,"[3, 2, 17, 1, 11]",
11,"[5, 3, 6, 14, 8, 0, 34, 15, 12, 34, 2]",
3,"[14, 14, 14]",
1,[36],
1,[16],
2,"[34, 35]",
1,[18],
3,"[2, 14, 24]",
1,[14],
1,[25],
4,"[6, 6, 4, 5]",
1,[6],
4,"[13, 13, 13, 13]",
1,[5],
1,[17],
3,"[18, 18, 18]",
1,[18],
3,"[11, 11, 11]",
4,"[13, 7, 11, 0]",
1,[11],
1,[31],
1,[0],
1,[24],
1,[24],
2,"[19, 2]",
1,[18],
1,[37],
2,"[22, 12]",
3,"[15, 30, 31]",
1,[0],
1,[22],
16,"[16, 3, 6, 4, 14, 36, 6, 15, 30, 13, 5, 15, 6, 5, 6, 3]",
1,[31],
1,[17],
1,[25],
1,[7],
1,[10],
11,"[17, 13, 14, 5, 12, 22, 2, 30, 25, 8, 19]",
2,"[6, 5]",
3,"[23, 17, 13]",
1,[8],
1,[3],
1,[3],
1,[8],
1,[15],
1,[33],
1,[3],
2,"[6, 6]",
9,"[24, 9, 3, 9, 33, 36, 24, 5, 10]",
1,[22],
2,"[37, 37]",
1,[13],
1,[12],
2,"[26, 13]",
1,[35],
1,[5],
1,[16],
1,[27],
1,[16],
1,[8],
1,[11],
5,"[12, 12, 22, 22, 22]",
3,"[20, 20, 20]",
1,[3],
1,[3],
1,[23],
1,[21],
2,"[16, 16]",
1,[27],
1,[1],
1,[3],
7,"[13, 34, 34, 21, 6, 14, 21]",
5,"[35, 27, 13, 37, 35]",
2,"[36, 14]",
1,[28],
1,[20],
1,[15],
1,[6],
1,[1],
1,[31],
4,"[26, 30, 33, 18]",
12,"[23, 6, 18, 17, 17, 34, 17, 17, 17, 17, 27, 5]",
1,[26],
1,[20],
1,[29],
1,[29],
2,"[9, 34]",
1,[21],
1,[2],
1,[2],
6,"[10, 10, 10, 24, 24, 24]",
6,"[18, 18, 16, 18, 18, 31]",
1,[9],
9,"[25, 26, 20, 30, 31, 26, 20, 24, 36]",
1,[29],
2,"[29, 24]",
3,"[13, 3, 3]",
1,[9],
5,"[24, 27, 35, 34, 18]",
2,"[20, 20]",
3,"[30, 26, 29]",
1,[6],
1,[11],
4,"[15, 4, 28, 36]",
4,"[16, 26, 18, 27]",
7,"[4, 10, 28, 31, 2, 34, 3]",
1,[10],
1,[25],
2,"[14, 14]",
3,"[7, 15, 5]",
3,"[10, 24, 35]",
1,[13],
1,[14],
3,"[19, 19, 19]",
1,[28],
7,"[26, 35, 30, 24, 24, 28, 27]",
1,[34],
2,"[2, 15]",
3,"[31, 29, 1]",
5,"[3, 16, 16, 17, 16]",
1,[34],
1,[27],
1,[0],
1,[15],
1,[6],
1,[15],
2,"[23, 35]",
1,[6],
1,[13],
1,[16],
1,[34],
1,[28],
1,[27],
2,"[21, 29]",
2,"[9, 11]",
2,"[25, 12]",
3,"[28, 24, 27]",
1,[2],
5,"[13, 17, 22, 14, 22]",
1,[37],
2,"[24, 26]",
1,[12],
2,"[6, 6]",
1,[2],
1,[1],
4,"[37, 32, 16, 37]",
1,[5],
1,[14],
1,[6],
1,[3],
1,[8],
10,"[22, 8, 22, 12, 8, 22, 12, 22, 22, 12]",
1,[34],
1,[1],
3,"[35, 5, 27]",
3,"[34, 14, 28]",
1,[1],
3,"[28, 17, 36]",
1,[2],
3,"[21, 27, 17]",
3,"[27, 25, 25]",
3,"[6, 9, 6]",
1,[18],
2,"[28, 22]",
1,[27],
1,[28],
1,[27],
2,"[21, 27]",
2,"[21, 36]",
1,[17],
1,[14],
2,"[9, 17]",
1,[26],
1,[20],
1,[27],
1,[29],
2,"[23, 35]",
1,[20],
1,[36],
1,[8],
4,"[25, 34, 3, 3]",
8,"[18, 16, 29, 17, 24, 21, 24, 28]",
1,[26],
1,[20],
1,[14],
2,"[10, 10]",
1,[15],
6,"[36, 31, 2, 3, 30, 4]",
7,"[35, 34, 23, 20, 33, 13, 25]",
1,[16],
1,[25],
3,"[14, 10, 14]",
1,[8],
1,[27],
1,[26],
3,"[10, 14, 14]",
4,"[34, 33, 15, 25]",
1,[18],
1,[20],
2,"[33, 29]",
5,"[7, 36, 20, 31, 21]",
6,"[26, 33, 23, 15, 18, 12]",
1,[34],
1,[11],
1,[30],
2,"[27, 21]",
1,[27],
3,"[36, 35, 27]",
1,[16],
1,[2],
5,"[26, 27, 32, 32, 30]",
3,"[28, 27, 23]",
1,[26],
1,[15],
1,[7],
1,[27],
1,[13],
2,"[24, 27]",
1,[25],
1,[15],
8,"[26, 22, 32, 29, 17, 20, 34, 29]",
8,"[22, 9, 12, 23, 11, 23, 17, 13]",
1,[14],
1,[20],
3,"[16, 3, 17]",
1,[15],
2,"[16, 36]",
1,[27],
1,[37],
1,[26],
1,[34],
1,[9],
2,"[36, 23]",
1,[1],
1,[19],
3,"[30, 30, 30]",
8,"[20, 20, 26, 20, 20, 20, 26, 26]",
1,[28],
2,"[8, 8]",
1,[6],
1,[29],
2,"[21, 29]",
1,[13],
1,[16],
1,[26],
1,[12],
1,[0],
1,[0],
1,[16],
1,[10],
1,[0],
1,[32],
2,"[33, 27]",
1,[33],
1,[33],
1,[5],
1,[1],
1,[32],
2,"[30, 26]",
2,"[6, 11]",
1,[31],
1,[36],
5,"[24, 9, 9, 29, 24]",
4,"[36, 7, 36, 36]",
1,[14],
1,[18],
7,"[13, 7, 14, 25, 23, 36, 17]",
2,"[32, 32]",
1,[28],
1,[18],
3,"[27, 24, 23]",
3,"[18, 34, 28]",
2,"[32, 37]",
1,[18],
8,"[29, 33, 20, 22, 2, 21, 1, 2]",
2,"[30, 30]",
2,"[16, 25]",
1,[26],
2,"[24, 27]",
1,[26],
2,"[20, 34]",
1,[31],
1,[26],
1,[21],
1,[16],
1,[22],
4,"[6, 7, 30, 25]",
4,"[26, 27, 30, 23]",
1,[34],
1,[6],
1,[33],
3,"[24, 16, 3]",
1,[10],
1,[35],
4,"[15, 22, 22, 12]",
1,[34],
1,[25],
1,[35],
4,"[27, 25, 27, 20]",
3,"[9, 34, 33]",
1,[9],
2,"[30, 28]",
9,"[35, 0, 33, 31, 34, 23, 25, 21, 31]",
4,"[30, 30, 30, 30]",
1,[16],
1,[17],
1,[30],
1,[18],
1,[14],
1,[28],
1,[14],
1,[18],
2,"[27, 36]",
3,"[33, 4, 34]",
3,"[36, 16, 18]",
15,"[22, 15, 34, 14, 14, 20, 31, 35, 36, 35, 23, 18, 28, 36, 36]",
4,"[27, 25, 25, 20]",
2,"[1, 29]",
1,[27],
1,[22],
1,[16],
1,[1],
2,"[13, 36]",
1,[31],
