Freq,Posting_ptr,Terms_ptr
172,"[17, 38, 48, 58, 32, 59, 62, 28, 37, 62, 30, 41, 24, 83, 83, 57, 57, 84, 23, 69, 47, 62, 23, 56, 64, 39, 59, 20, 23, 62, 20, 47, 26, 59, 43, 42, 17, 25, 28, 49, 65, 56, 24, 28, 57, 38, 27, 18, 65, 65, 58, 29, 24, 27, 58, 21, 41, 86, 31, 27, 18, 63, 67, 27, 60, 65, 59, 27, 31, 51, 24, 41, 29, 40, 18, 28, 61, 47, 65, 50, 24, 22, 17, 59, 68, 50, 30, 63, 21, 68, 2, 47, 27, 27, 85, 32, 85, 17, 4, 55, 43, 46, 47, 84, 45, 16, 14, 35, 74, 74, 54, 44, 16, 47, 0, 36, 86, 71, 36, 80, 81, 33, 45, 72, 72, 36, 81, 16, 54, 80, 33, 71, 73, 80, 5, 35, 36, 15, 16, 34, 35, 44, 77, 77, 12, 10, 43, 5, 35, 46, 35, 16, 13, 54, 34, 76, 54, 76, 76, 47, 77, 10, 54, 14, 52, 78, 78, 82, 76, 75, 47, 34]",2097
1,[67],2100
1,[5],2105
46,"[59, 63, 59, 84, 67, 63, 18, 29, 59, 82, 38, 44, 33, 75, 37, 26, 16, 39, 36, 61, 84, 36, 79, 22, 20, 60, 58, 33, 76, 80, 63, 43, 63, 43, 56, 36, 4, 16, 52, 82, 53, 32, 35, 53, 45, 43]",2111
1,[47],2116
67,"[15, 9, 83, 27, 17, 33, 48, 41, 32, 1, 50, 17, 86, 58, 26, 73, 44, 21, 47, 6, 52, 64, 19, 58, 45, 82, 46, 74, 47, 50, 37, 12, 20, 27, 80, 84, 29, 66, 30, 56, 60, 53, 68, 24, 44, 36, 38, 28, 7, 76, 8, 30, 70, 74, 57, 61, 46, 37, 72, 25, 34, 74, 11, 23, 66, 29, 29]",2123
6,"[16, 15, 4, 68, 5, 77]",2127
1,[34],2133
3,"[64, 62, 5]",2140
2,"[44, 59]",2144
1,[62],2146
2,"[7, 6]",2150
2,"[47, 20]",2153
1,[59],2158
2,"[1, 64]",2167
2,"[21, 29]",2172
